GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
730_RMAS - Shared - Web Back-End,com.ssl.rmas.exceptionhandler,ActivityAsyncUncaughtExceptionHandler,11,101,7,7,3,18,7,7,0,7
730_RMAS - Shared - Web Back-End,com.ssl.rmas.exceptionhandler,SharedExceptionToHttpResponseMapper,48,0,10,0,10,0,8,0,3,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.exceptionhandler,SharedExceptionToMessagesMapper,46,0,12,0,12,0,9,0,3,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,AdviceConfiguration,115,0,0,0,28,0,8,0,8,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,FileActivityEnum,35,0,0,0,6,0,5,0,5,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,StaticDeviceDataXMLToDeviceUnmarshaller,77,0,0,0,20,0,14,0,14,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,ActivityNotFoundException,7,0,0,0,4,0,2,0,2,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,StaticDeviceDataXMLToDeviceUnmarshaller.DeviceContentHandler,419,0,73,0,63,0,55,0,6,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,LoggingChannelConfiguration,25,0,0,0,7,0,5,0,5,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.utils,ActivityEnum,123,0,0,0,14,0,5,0,5,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.security.ssh,RsaKeyPairGenerator,30,0,0,0,8,0,2,0,2,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.security.ssh,SshKeyPairGenerationException,4,0,0,0,2,0,1,0,1,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,VerifyManager,0,136,4,12,0,27,4,10,0,4
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,DeviceManager,206,0,2,0,52,0,33,0,32,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,UpgradeFirmwareManager,104,0,12,0,22,0,11,0,4,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,StaticDataManager,80,0,2,0,17,0,6,0,5,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,RemoveOldSshPublicKeysManager,114,0,8,0,23,0,8,0,4,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,ResetDeviceManager,108,0,8,0,21,0,8,0,4,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,UpdateKeyManager,125,0,12,0,23,0,11,0,4,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,DownloadLogsManager,363,0,36,0,70,0,36,0,18,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,DowngradeFirmwareManager,0,116,3,9,0,22,3,8,0,4
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,DeviceUsageRegistry,28,0,2,0,7,0,5,0,4,0
730_RMAS - Shared - Web Back-End,com.ssl.rmas.managers,UploadFirmwareManager,83,0,6,0,15,0,6,0,3,0
